종목번호,종목명,현재가,대비,등락률,거래량
137310,에스디바이오센서,"6,770",▼,"-400","-5.58%","293,003"
137400,피엔티,"37,850",▼,"-2,900","-7.12%","298,836"
138040,메리츠금융지주,"102,800",▼,"-4,500","-4.19%","472,029"
138610,나이벡,"17,290",▼,"-2,200","-11.29%","96,708"
138930,BNK금융지주,"16,210",▼,"-1,030","-5.97%","1,327,994"
139130,iM금융지주,"16,700",▼,"-1,000","-5.65%","1,010,820"
139480,이마트,"84,300",▼,"-4,900","-5.49%","316,239"
140860,파크시스템스,"255,000",▼,"-29,000","-10.21%","68,338"
141080,리가켐바이오,"115,400",▼,"-20,700","-15.21%","805,958"
144510,지씨셀,"15,940",▼,"-1,240","-7.22%","70,876"
145020,휴젤,"229,000",▼,"-17,000","-6.91%","72,372"
145720,덴티움,"42,950",▼,"-2,150","-4.77%","53,282"
145990,삼양사,"41,650",▼,"-1,050","-2.46%","14,354"
161000,애경케미칼,"10,050",▼,"-850","-7.80%","393,279"
161390,한국타이어앤테크놀로지,"66,400",▼,"-1,500","-2.21%","620,515"
161580,필옵틱스,"38,600",▼,"-3,350","-7.99%","478,599"
161890,한국콜마,"77,300",▼,"-6,200","-7.43%","295,044"
166090,하나머티리얼즈,"57,200",▼,"-6,000","-9.49%","355,468"
168360,펨트론,"18,390",▼,"-1,000","-5.16%","225,362"
170900,동아에스티,"35,900",▼,"-2,450","-6.39%","35,651"
171090,선익시스템,"68,000",▼,"-3,600","-5.03%","157,410"
175330,JB금융지주,"24,600",▼,"-1,150","-4.47%","800,739"
176750,듀켐바이오,"6,030",▼,"-360","-5.63%","38,224"
178920,PI첨단소재,"20,050",▼,"-1,750","-8.03%","244,677"
180640,한진칼,"104,600",▼,"-10,400","-9.04%","223,938"
181710,NHN,"45,500",▼,"-3,550","-7.24%","518,078"
183190,아세아시멘트,"9,270",▼,"-300","-3.13%","100,741"
183300,코미코,"98,100",▼,"-10,500","-9.67%","299,265"
185750,종근당,"71,400",▼,"-3,000","-4.03%","43,504"
189300,인텔리안테크,"99,900",▼,"-11,800","-10.56%","205,542"
190510,나무가,"14,750",▼,"-1,620","-9.90%","164,780"
192080,더블유게임즈,"68,000",▼,"-3,100","-4.36%","124,139"
192400,쿠쿠홀딩스,"23,800",▼,"-700","-2.86%","39,260"
192820,코스맥스,"159,000",▼,"-6,900","-4.16%","67,497"
194370,제이에스코퍼레이션,"9,850",▼,"-550","-5.29%","207,358"
194480,데브시스터즈,"13,810",▼,"-1,040","-7.00%","118,551"
194700,노바렉스,"13,990",▼,"-980","-6.55%","177,108"
195870,해성디에스,"67,700",▼,"-7,100","-9.49%","228,226"
195940,HK이노엔,"38,450",▼,"-2,750","-6.67%","331,138"
196170,알테오젠,"286,500",▼,"-46,000","-13.83%","986,294"
199430,케이엔알시스템,"14,400",▼,"-1,820","-11.22%","117,579"
199800,툴젠,"43,400",▼,"-5,400","-11.07%","79,099"
200130,콜마비앤에이치,"9,160",▼,"-750","-7.57%","171,058"
200670,휴메딕스,"24,100",▼,"-1,300","-5.12%","81,940"
200710,에이디테크놀로지,"31,850",▼,"-3,200","-9.13%","453,623"
200880,서연이화,"11,500",▼,"-910","-7.33%","200,915"
204270,제이앤티씨,"16,160",▼,"-1,370","-7.82%","391,500"
204320,HL만도,"50,500",▼,"-4,700","-8.51%","696,658"
206640,바디텍메드,"10,190",▼,"-600","-5.56%","81,217"
207940,삼성바이오로직스,"1,243,000",▼,"-97,000","-7.24%","105,229"
211050,인카금융서비스,"9,110",▲,"90","+1.00%","258,007"
213420,덕산네오룩스,"31,750",▼,"-2,950","-8.50%","302,401"
214150,클래시스,"41,500",▼,"-1,350","-3.15%","429,207"
214320,이노션,"19,600",▼,"-380","-1.90%","173,466"
214370,케어젠,"68,300",▼,"-9,500","-12.21%","265,799"
214430,아이쓰리시스템,"62,100",▼,"-6,300","-9.21%","89,677"
214450,파마리서치,"258,000",▼,"-28,500","-9.95%","176,558"
215000,골프존,"42,300",▼,"-1,550","-3.53%","30,386"
215200,메가스터디교육,"36,000",▼,"-2,100","-5.51%","113,461"
217590,티엠씨,"16,980",▼,"-860","-4.82%","247,254"
218410,RFHIC,"75,800",▼,"-7,000","-8.45%","539,154"
220100,퓨쳐켐,"10,550",▼,"-1,270","-10.74%","147,694"
225570,넥슨게임즈,"9,560",▼,"-550","-5.44%","398,346"
226320,잇츠한불,"9,300",▼,"-470","-4.81%","63,736"
226950,올릭스,"123,100",▼,"-25,700","-17.27%","722,112"
228760,지노믹트리,"11,120",▼,"-1,030","-8.48%","172,012"
229640,LS에코에너지,"55,300",▼,"-4,900","-8.14%","233,518"
230360,에코마케팅,"15,990",▼,"-10","-0.06%","30,486"
236200,슈프리마,"40,700",▼,"-2,900","-6.65%","61,235"
237690,에스티팜,"108,100",▼,"-11,400","-9.54%","170,798"
237880,클리오,"10,030",▼,"-560","-5.29%","70,110"
240810,원익IPS,"109,200",▼,"-23,500","-17.71%","2,762,869"
241560,두산밥캣,"60,400",▼,"-5,400","-8.21%","337,010"
241710,코스메카코리아,"66,600",▼,"-3,600","-5.13%","104,088"
241770,메카로,"35,000",▼,"-4,400","-11.17%","80,928"
243070,휴온스,"27,200",▲,"300","+1.12%","66,338"
247540,에코프로비엠,"160,200",▼,"-19,900","-11.05%","1,160,414"
248070,솔루엠,"17,020",▼,"-730","-4.11%","427,741"
249420,일동제약,"17,610",▼,"-2,090","-10.61%","545,820"
251270,넷마블,"39,900",▼,"-2,100","-5.00%","238,628"
251970,펌텍코리아,"32,600",▼,"-1,800","-5.23%","40,719"
253450,스튜디오드래곤,"23,600",▼,"-1,500","-5.98%","128,772"
257720,실리콘투,"32,650",▼,"-1,450","-4.25%","765,133"
259960,크래프톤,"244,500",▼,"-13,000","-5.05%","177,177"
263750,펄어비스,"38,050",▼,"-2,450","-6.05%","943,621"
265520,AP시스템,"20,850",▼,"-1,900","-8.35%","147,806"
267250,HD현대,"248,500",▼,"-23,000","-8.47%","189,669"
267260,HD현대일렉트릭,"884,000",▼,"-72,000","-7.53%","236,355"
267270,HD건설기계,"132,200",▼,"-15,500","-10.49%","394,939"
267980,매일유업,"32,250",▼,"-550","-1.68%","15,474"
268280,미원에스씨,"96,100",▼,"-100","-0.10%","2,686"
270660,에브리봇,"12,090",▼,"-1,540","-11.30%","87,703"
271560,오리온,"127,400",▼,"-5,200","-3.92%","107,516"
271940,일진하이솔루스,"12,630",▼,"-1,100","-8.01%","72,928"
272210,한화시스템,"85,600",▼,"-9,000","-9.51%","1,072,423"
272290,이녹스첨단소재,"25,600",▼,"-2,200","-7.91%","317,400"
277810,레인보우로보틱스,"617,000",▼,"-51,000","-7.63%","268,043"
278280,천보,"38,250",▼,"-2,700","-6.59%","114,530"
278470,에이피알,"366,000",▼,"-23,000","-5.91%","235,636"
280360,롯데웰푸드,"103,100",▼,"-5,500","-5.06%","35,974"
281820,케이씨텍,"59,800",▼,"-5,500","-8.42%","157,447"
282330,BGF리테일,"128,200",▼,"-1,200","-0.93%","64,897"
284740,쿠쿠홈시스,"21,200",▼,"-600","-2.75%","27,071"
285130,SK케미칼,"38,650",▼,"-2,800","-6.76%","87,861"
286940,롯데이노베이트,"19,970",▼,"-1,330","-6.24%","84,415"
287840,인투셀,"22,350",▼,"-2,900","-11.49%","119,458"
290650,엘앤씨바이오,"82,700",▼,"-3,500","-4.06%","852,520"
293490,카카오게임즈,"8,800",▼,"-390","-4.24%","318,411"
294570,쿠콘,"20,750",▼,"-1,450","-6.53%","71,605"
294870,IPARK현대산업개발,"19,130",▼,"-380","-1.95%","224,523"
295310,에이치브이엠,"92,700",▼,"-1,600","-1.70%","440,315"
298020,효성티앤씨,"315,000",▼,"-25,500","-7.49%","50,712"
298040,효성중공업,"3,180,000",▼,"-200,000","-5.92%","69,479"
298050,HS효성첨단소재,"185,900",▼,"-12,600","-6.35%","31,172"
298380,에이비엘바이오,"87,500",▼,"-12,300","-12.32%","825,426"
299030,하나기술,"16,110",▼,"-1,360","-7.78%","63,433"
300080,플리토,"7,630",▼,"-1,030","-11.89%","322,892"
300720,한일시멘트,"13,620",▼,"-700","-4.89%","279,545"
302440,SK바이오사이언스,"37,350",▼,"-2,600","-6.51%","255,947"
304100,솔트룩스,"15,350",▼,"-1,730","-10.13%","187,271"
304360,에스바이오메딕스,"26,000",▼,"-4,600","-15.03%","183,334"
306200,세아제강,"139,500",▲,"4,300","+3.18%","44,994"
307950,현대오토에버,"750,000",▼,"-86,000","-10.29%","342,975"
308430,셀비온,"17,170",▼,"-2,000","-10.43%","104,964"
310210,보로노이,"182,800",▼,"-26,700","-12.74%","295,254"
314930,바이오다인,"9,470",▼,"-290","-2.97%","210,605"
316140,우리금융지주,"28,850",▼,"-2,350","-7.53%","4,574,680"
317330,덕산테코피아,"13,820",▼,"-1,740","-11.18%","322,749"
317450,명인제약,"41,550",▼,"-2,550","-5.78%","52,758"
319400,현대무벡스,"34,350",▲,"1,250","+3.78%","4,546,317"
319660,피에스케이,"115,300",▼,"-11,200","-8.85%","1,232,899"
323280,태성,"47,650",▼,"-6,650","-12.25%","675,852"
323410,카카오뱅크,"22,450",▼,"-600","-2.60%","2,082,315"
326030,SK바이오팜,"82,300",▼,"-5,800","-6.58%","310,735"
328130,루닛,"14,140",▼,"-560","-3.81%","3,296,459"
329180,HD현대중공업,"614,000",▼,"-50,000","-7.53%","546,140"
336260,두산퓨얼셀,"71,800",▼,"-11,800","-14.11%","829,401"
336370,솔루스첨단소재,"9,820",▼,"-1,190","-10.81%","539,133"
336570,원텍,"7,060",▼,"-660","-8.55%","2,109,630"
338220,뷰노,"7,680",▼,"-670","-8.02%","116,221"
338840,와이바이오로직스,"12,920",▼,"-1,930","-13.00%","448,289"
340570,티앤엘,"51,500",▼,"-3,900","-7.04%","74,557"
344820,KCC글라스,"22,200",▼,"-650","-2.84%","79,923"
347700,스피어,"29,050",▼,"-1,650","-5.37%","1,998,144"
348210,넥스틴,"56,000",▼,"-8,600","-13.31%","183,024"
348370,엔켐,"31,700",▼,"-1,350","-4.08%","423,178"
352480,씨앤씨인터내셔널,"18,520",▼,"-1,180","-5.99%","53,930"
352820,하이브,"196,400",▼,"-13,100","-6.25%","477,631"
356680,엑스게이트,"16,000",▼,"-1,960","-10.91%","1,574,642"
356860,티엘비,"94,700",▼,"-12,000","-11.25%","397,204"
357550,석경에이티,"40,850",▼,"-4,150","-9.22%","20,776"
357780,솔브레인,"328,000",▼,"-35,000","-9.64%","86,015"
358570,지아이이노베이션,"10,940",▼,"-1,390","-11.27%","1,016,737"
361610,SK아이이테크놀로지,"16,460",▼,"-1,340","-7.53%","295,644"
365340,성일하이텍,"49,300",▼,"-3,000","-5.74%","95,793"
372170,윤성에프앤씨,"21,000",▼,"-2,250","-9.68%","26,270"
372320,큐로셀,"26,600",▼,"-2,500","-8.59%","140,377"
373220,LG에너지솔루션,"390,500",▼,"-23,500","-5.68%","625,276"
375500,DL이앤씨,"67,100",▼,"-4,800","-6.68%","671,048"
376270,HEM파마,"43,000",▼,"-4,000","-8.51%","80,931"
376300,디어유,"20,900",▼,"-1,250","-5.64%","229,005"
376900,로킷헬스케어,"46,050",▼,"-5,150","-10.06%","233,148"
377300,카카오페이,"41,900",▼,"-3,350","-7.40%","517,904"
378340,필에너지,"11,990",▼,"-1,520","-11.25%","226,479"
381970,케이카,"8,380",▼,"-280","-3.23%","211,865"
382900,범한퓨얼셀,"25,350",▼,"-2,400","-8.65%","109,908"
383220,F&F,"71,200",▼,"-2,500","-3.39%","123,605"
383800,LX홀딩스,"7,780",▼,"-190","-2.38%","478,508"
388210,씨엠티엑스,"94,300",▼,"-13,500","-12.52%","147,301"
388720,유일로보틱스,"85,000",▼,"-7,500","-8.11%","137,589"
389260,대명에너지,"12,640",▼,"-1,180","-8.54%","157,211"
389470,인벤티지랩,"40,650",▼,"-6,350","-13.51%","170,742"
389650,넥스트바이오메디컬,"40,300",▼,"-7,300","-15.34%","161,835"
394280,오픈엣지테크놀로지,"12,880",▼,"-1,200","-8.52%","260,946"
394800,쓰리빌리언,"6,800",▼,"-1,300","-16.05%","540,126"
397030,에이프릴바이오,"40,200",▼,"-10,000","-19.92%","1,052,247"
399720,가온칩스,"44,700",▼,"-5,300","-10.60%","166,831"
402030,코난테크놀로지,"15,360",▼,"-1,530","-9.06%","59,437"
402340,SK스퀘어,"1,132,000",▼,"-126,000","-10.02%","1,075,279"
403550,쏘카,"10,910",▼,"-860","-7.31%","92,310"
403850,더핑크퐁컴퍼니,"10,410",▼,"-730","-6.55%","82,388"
416180,신성에스티,"25,350",▼,"-2,950","-10.42%","115,805"
419530,SAMG엔터,"23,400",▼,"-1,700","-6.77%","165,173"
424870,이뮨온시아,"3,945",▼,"-545","-12.14%","2,346,581"
425420,티에프이,"43,000",▼,"-4,000","-8.51%","132,313"
437730,삼현,"41,900",▼,"-4,600","-9.89%","402,073"
439090,마녀공장,"12,580",▼,"-660","-4.98%","197,490"
439260,대한조선,"59,900",▼,"-100","-0.17%","318,483"
441270,파인엠텍,"7,140",▼,"-860","-10.75%","721,773"
443060,HD현대마린솔루션,"204,500",▼,"-17,500","-7.88%","136,830"
445090,에이직랜드,"24,950",▼,"-3,250","-11.52%","302,351"
445680,큐리옥스바이오시스템즈,"78,200",▼,"-10,700","-12.04%","346,577"
448280,에코아이,"9,000",▼,"-860","-8.72%","196,930"
448900,한국피아이엠,"70,200",▼,"-9,600","-12.03%","209,399"
450950,아스테라시스,"7,080",▼,"-750","-9.58%","141,212"
452430,사피엔반도체,"36,250",▼,"-4,850","-11.80%","124,452"
453340,현대그린푸드,"16,580",▼,"-130","-0.78%","42,967"
454910,두산로보틱스,"126,300",▼,"-14,000","-9.98%","10,023,809"
455900,엔젤로보틱스,"23,150",▼,"-3,250","-12.31%","241,362"
456040,OCI,"106,400",▼,"-7,100","-6.26%","58,502"
456160,지투지바이오,"44,300",▼,"-8,700","-16.42%","448,443"
457190,이수스페셜티케미컬,"77,300",▼,"-8,200","-9.59%","388,360"
458870,씨어스,"27,700",▼,"-1,400","-4.81%","464,870"
459510,나우로보틱스,"18,450",▼,"-1,650","-8.21%","147,907"
460860,동국제강,"9,100",▼,"-740","-7.52%","386,854"
460930,현대힘스,"13,050",▼,"-1,490","-10.25%","398,105"
462870,시프트업,"29,750",▼,"-800","-2.62%","776,240"
466100,클로봇,"37,000",▼,"-6,200","-14.35%","729,635"
468530,프로티나,"32,350",▼,"-5,300","-14.08%","158,137"
469610,이노테크,"14,020",▼,"-990","-6.60%","121,098"
472850,폰드그룹,"4,155",▼,"-75","-1.77%","116,135"
473980,노머스,"11,990",▼,"-1,550","-11.45%","92,775"
475150,SK이터닉스,"31,900",▼,"-3,450","-9.76%","664,193"
475400,씨메스로보틱스,"24,350",▼,"-2,250","-8.46%","139,905"
475560,더본코리아,"15,640",▼,"-730","-4.46%","25,496"
475830,오름테라퓨틱,"53,200",▼,"-9,900","-15.69%","373,744"
475960,토모큐브,"36,050",▼,"-3,800","-9.54%","250,258"
476060,온코닉테라퓨틱스,"15,000",▼,"-1,250","-7.69%","690,108"
476830,알지노믹스,"86,900",▼,"-18,200","-17.32%","549,305"
481070,에이유브랜즈,"10,840",▼,"-900","-7.67%","70,839"
483650,달바글로벌,"185,300",▼,"-8,600","-4.44%","176,544"
484120,도우인시스,"15,550",▼,"-870","-5.30%","53,156"
484590,삼양컴텍,"7,240",▼,"-530","-6.82%","277,760"
484810,티엑스알로보틱스,"11,700",▼,"-1,720","-12.82%","124,104"
484870,엠앤씨솔루션,"59,900",▼,"-4,500","-6.99%","60,377"
486990,노타,"29,800",▼,"-4,750","-13.75%","920,290"
488280,에스투더블유,"15,660",▼,"-3,460","-18.10%","659,145"
488900,비츠로넥스텍,"10,460",▼,"-920","-8.08%","196,016"
489790,한화비전,"65,400",▼,"-6,100","-8.53%","1,039,282"
494120,큐리오시스,"24,050",▼,"-4,750","-16.49%","237,165"
499790,GS피앤엘,"44,400",▼,"-4,550","-9.30%","170,402"
