2026-06-15 12:44:07,995 [INFO]   #19 379800_AL(379800_AL) [🔥주도주/보유주도] | 점수: 234.60점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +1.20% (급등:+0.00%) | 이격도: N/A | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 111.3% | 1억매수: 0건
2026-06-15 12:44:07,995 [INFO]   #20 064400_AL(064400_AL) [🔥주도주/보유주도] | 점수: 230.08점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +4.31% (급등:+0.00%) | 이격도: 0.98% | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 93.5% | 1억매수: 0건
2026-06-15 12:44:07,995 [INFO]   #21 028050_AL(028050_AL) [🔥주도주/보유주도] | 점수: 222.82점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +3.72% (급등:+0.00%) | 이격도: 0.11% | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 92.8% | 1억매수: 0건
2026-06-15 12:44:07,995 [INFO]   #22 396500_AL(396500_AL) [🔥주도주/보유주도] | 점수: 214.19점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +1.48% (급등:+0.00%) | 이격도: N/A | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 99.7% | 1억매수: 0건
2026-06-15 12:44:07,995 [INFO]   #23 233740_AL(233740_AL) [🔥주도주/보유주도] | 점수: 203.98점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +2.00% (급등:+0.00%) | 이격도: N/A | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 92.0% | 1억매수: 0건
2026-06-15 12:44:07,995 [INFO]   #24 035420_AL(035420_AL) [🔥주도주/보유주도] | 점수: 200.71점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +3.71% (급등:+0.00%) | 이격도: 1.45% | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 81.8% | 1억매수: 0건
2026-06-15 12:44:07,995 [INFO]   #25 042700_AL(042700_AL) [🔥주도주/보유주도] | 점수: 181.77점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +2.93% (급등:+0.00%) | 이격도: 2.45% | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 76.2% | 1억매수: 0건
2026-06-15 12:44:07,995 [INFO]   #26 000720_AL(000720_AL) [🔥주도주/보유주도] | 점수: 166.53점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +2.31% (급등:+0.00%) | 이격도: 2.31% | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 71.7% | 1억매수: 0건
2026-06-15 12:44:07,996 [INFO]   #27 114800_AL(114800_AL) [🔥주도주/보유주도] | 점수: 155.94점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: -5.19% (급등:+0.00%) | 이격도: 0.44% | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 103.9% | 1억매수: 0건
2026-06-15 12:44:07,996 [INFO]   #28 006800_AL(006800_AL) [🔥주도주/보유주도] | 점수: 151.05점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: -3.33% (급등:+0.00%) | 이격도: 1.64% | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 92.2% | 1억매수: 0건
2026-06-15 12:44:07,996 [INFO]   #29 036930_AL(036930_AL) [🔥주도주/보유주도] | 점수: 105.25점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: -3.25% (급등:+0.00%) | 이격도: N/A | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 68.9% | 1억매수: 0건
